age,monthly_income,dependents,investment_horizon_years,monthly_surplus,existing_investments,market_drop_reaction
27,61214,0,4,18460,322804,5
48,177287,3,12,37189,2119496,4
26,185107,1,16,11456,4673746,2
42,55795,3,17,4389,1316869,3
46,217464,3,13,62992,4180404,1
51,59616,3,12,10177,887116,3
37,203760,1,10,51904,2891695,1
46,73408,3,10,14723,1044378,3
31,94886,3,13,16050,2685967,2
48,167119,0,4,47753,3699008,2
49,215693,3,15,72343,269010,4
31,69516,1,15,8855,1580335,2
27,96300,3,21,19834,1483215,1
30,224119,2,16,69573,1199658,1
23,36423,1,4,6840,428336,2
34,226106,1,17,18767,6373426,2
29,139289,1,5,40352,889716,2
42,147539,1,12,29415,3599787,4
28,174832,1,9,19083,2117120,3
47,166509,3,12,52087,2930829,1
23,150199,3,16,19593,838105,3
57,158151,2,14,19149,3854088,3
32,79244,3,19,12819,1380860,5
37,96784,2,8,16043,1297677,3
27,236485,2,4,28360,5662028,4
