fund_name,category,return_1yr,return_3yr,return_5yr,expense_ratio,std_dev,sharpe_ratio,fund_rating
Demo_Fund_01,Hybrid,-0.29,23.64,12.52,0.5,20.87,1.25,3
Demo_Fund_02,Large Cap,13.27,8.96,7.19,0.62,16.16,0.72,3
Demo_Fund_03,Mid Cap,12.89,17.41,11.48,1.64,12.97,0.71,5
Demo_Fund_04,Hybrid,6.62,19.8,14.18,0.74,17.96,1.64,4
Demo_Fund_05,Mid Cap,12.27,9.74,10.9,0.57,14.17,0.61,2
Demo_Fund_06,Hybrid,14.47,16.84,15.62,1.82,9.47,0.74,5
Demo_Fund_07,Debt,10.74,9.4,13.62,0.38,12.66,1.12,5
Demo_Fund_08,Small Cap,8.64,6.94,7.79,0.46,9.67,1.37,2
Demo_Fund_09,Hybrid,9.47,14.63,16.76,1.56,4.68,1.08,2
Demo_Fund_10,Mid Cap,10.35,14.71,25.16,1.1,14.24,1.4,2
Demo_Fund_11,Large Cap,7.97,24.93,11.63,0.98,21.74,0.39,5
Demo_Fund_12,Small Cap,19.29,17.44,19.59,1.52,10.72,1.18,1
Demo_Fund_13,Hybrid,10.27,22.85,11.86,0.22,16.24,1.17,5
Demo_Fund_14,Large Cap,18.2,11.29,16.79,0.72,6.2,1.24,3
Demo_Fund_15,Large Cap,-0.39,20.85,15.69,1.7,5.67,1.37,5
